id,timestamp,source,source_url,wikipedia_title,content_text,content_length,content_type,theme_category,estimated_reading_time_minutes,dialect_markers_bokmaal,dialect_markers_nynorsk,dialect_dominance,contains_historical_content,contains_geographic_content,contains_cultural_content,contains_technical_content,sections_available,has_references,content_complexity_level,unique_norwegian_terms_count,consciousness_enhancement_score
no_wiki_norsk_historie_quisling_20250921_055836,2025-09-21T05:58:36.529268,Wikipedia_NO,https://no.wikipedia.org/wiki/quisling,Quisling,"Quisling, også skrevet Qvisling, Quislin, Qvislin og Quislinus, er en norsk telemarksslekt som kan føres tilbake til den danske presten Laurits Ibsøn Quislinus (også skrevet Lars Ibsen Qvislin, 1634–1700), som kom til Christiania som slottsprest  i 1665. Navnet er en latinisering av Kvislemark som ligger sør på Sjælland i Danmark. Leddet «kvisle» i ordet kvislemark skal henge sammen med «todelt (elv)» eller «elvedele» og er i slekt med ordet «kvist». Den mest kjente navnebæreren er Vidkun Quisling, «fører» for det nasjonalistiske partiet Nasjonal Samling (NS) og dødsdømt som landssviker etter å ha samarbeidet med den tyske okkupasjonsmakten i Norge under andre verdenskrig. Medlemmer av slekten lever i dag i USA, særlig i Wisconsin der flere av dem er leger.",767,intro_extract,norsk_historie,3.835,8,7,mixed,True,True,False,False,0,False,intermediate,2,1.67
no_wiki_norsk_historie_hjemmefronten_20250921_055837,2025-09-21T05:58:37.210083,Wikipedia_NO,https://no.wikipedia.org/wiki/hjemmefronten,Hjemmefronten,"Hjemmefronten er brukt som betegnelse både på organisert (Hjemmestyrkene med Milorg og Sivorg) og på uorganisert, generell motstand i Norge mot den tyske okkupasjonen under andre verdenskrig.
Hjemmefronten inkluderte den organiserte Motstandsbevegelsen, men kunne også inkludere alle enkeltpersoner som hadde en patriotisk innstilling. For å føle seg som en del av hjemmefronten kunne det være nok med rent symbolsk motstand. Av slik motstand kan nevnes å gå med en spesiell type topplue, ha binders på jakkeslaget eller å motsette seg noen av de mange direktiver fra makthaverne. En betegnelse på slike patrioter var jøssinger.
Motstanden kunne også være mer aktiv, ved for eksempel å lytte på illegale radioapparater. Et skritt videre var å gi ut illegale aviser.
Ved enda mer organisert motstand kunne man si at man var en del av motstandsbevegelsen. Norge under andre verdenskrig var preget av ulike motstandsgrupperinger som arbeidet mer eller mindre koordinert. En av disse grupperingene som hadde stor innflytelse ble kalt «Kretsen» som er kjent for «Grimelundsmøtene» på Grimelund gård, en annen var «Koordinasjonskomiteen» (KK) som ledet den sivile holdningskampen sammen med Kretsen. Kommunistene var nesten de eneste som drev med voldelig motstandskamp, men uten å samarbeide særlig med resten av Hjemmefronten. Dette fordi Hjemmefronten ikke ville at det skulle utføres voldelige aksjoner i Norge, av frykt for represalier mot sivilbefolkningen.
Størstedelen av krigen var det ingen enhetlig ledelse av Hjemmefronten, første gang uttrykket Hjemmefrontens Ledelse ble brukt var i 1943 da Koordinasjonskomiteen begynt å sende ut sine paroler over radio i dette navnet. Utover 1944 ble Kretsen svekket fordi noen ble tatt og andre flyktet til Sverige, og det viste seg nødvendig å få en formell ledelse på plass for å ta seg av viktige oppgaver etter hvert som krigen nærmet seg slutten.  Høsten 1944 ble Hjemmefrontens Ledelse (HL) dannet, «Det øverste råd» bestod av en formann og 11 medlemmer fra Kretsen, KK, Hjemmestyrkene, Rikspolitiet, Faglig utvalg (FU). Bøndene som før var blitt holdt utenfor, fikk en representant, mens kommunistene ikke fikk være med.
Under hele okkupasjonen var det spenning mellom ledende grupperinger i Hjemmefronten og London-regjeringen, i november 1944 møttes representanter for regjeringen og den nye hjemmefrontledelsen i Stockholm til en rundebordskonferanse hvor de kunne avklare en del forhold, deriblant ordningen av den sivile sentraladministrasjonen i overgangstiden etter krigens slutt. Hovedproblemet var hvilken status Nygårdsvoldregjeringen skulle ha etter freden.
Hjemmefrontledelsen mente at det skulle dannes en Regjeringskommisjon med folk «hjemmefra», mens regjeringen mente at siden de var landets lovlige regjering, måtte de ta over. Kompromisset ble at regjeringen skulle sende over kronprins Olav sammen med fem representanter like etter frigjøringen. Likevel fortsatte konflikten mellom hjemmefrontledelsen og regjeringen utover sommeren 1945.",3009,intro_extract,norsk_historie,15.045,10,7,neutral,True,True,False,False,0,False,intermediate,3,1.7
no_wiki_norsk_historie_middelalder_20250921_055839,2025-09-21T05:58:39.384122,Wikipedia_NO,https://no.wikipedia.org/wiki/middelalder,Middelalderen,"Middelalderen er en periode i europeisk historie som strekker seg fra antikkens avslutning til renessansen eller tidlig moderne tid. Innen politisk historie har det vært vanlig å tidsfeste den mer presist til 476–1453, med henholdsvis det vest- og østromerske rikes fall som ytterpunktene.",289,summary,norsk_historie,1.445,6,5,mixed,True,True,False,False,0,False,intermediate,0,0.99
no_wiki_norsk_kultur_bunad_20250921_055841,2025-09-21T05:58:41.460718,Wikipedia_NO,https://no.wikipedia.org/wiki/bunad,Bunad,"Bunad er en fest- og høytidsdrakt som har bakgrunn i en folkedrakt (også kalt nasjonaldrakt). Fra 1930-årene har kostbare bunader fra ulike landsdeler i Norge gradvis blitt et vanlig statusantrekk ved høytidelige markeringer.
Den 5. desember 2024 ble den norske bunadbruken offisielt innskrevet på UNESCOs liste over verdens immaterielle kulturarv.
«Bunad», av norrønt búnaðr som opprinnelig betyr «utstyr», er et nyord som fra 1900-tallet har blitt brukt om flere typer klesdrakter i Norge, først og fremst om moderne, historiserende festdrakter i nasjonalromantisk tradisjon. Disse ble konstruert i første halvdel av 1900-tallet og ble inspirert av regionale drakter hos den norske bondebefolkningen på 1700–1800-tallet, antrekk og plagg som på sin side var etterlikninger av tidligere europeisk klesmote.",807,intro_extract,norsk_kultur,4.035,3,2,mixed,True,True,True,False,0,False,intermediate,5,2.21
no_wiki_norsk_kultur_rosemaling_20250921_055842,2025-09-21T05:58:42.141027,Wikipedia_NO,https://no.wikipedia.org/wiki/rosemaling,Rosemaling,"Rosemaling er en dekorativ, ornamental malestil på gjenstander, møbler og interiør som var vanlig i flere bygder i Norge fra rundt 1740 til 1860, særlig i Telemark og Hallingdal, men også i Numedal og Setesdal og i andre dalfører i Vest-Agder, Hordaland, Sogn og Fjordane og Rogaland. Navnet kommer av motivene som først og fremst er frie, svungne blomster og blader som fyller flatene i djerve linjer og sterke og ofte raffinerte fargekombinasjoner. Andre motiver forekommer også.  Rankeornamentikken har historisk utgangspunkt i den svulmende, europeiske blomsterbarokken og rokokkoens lekende eleganse men utviklet som bondemaling særegne regionale stiltrekk. Dekorasjonsformen anses i dag som en del av norsk folkekunst og husflid. Håndverket er fremdeles levende i brukskunstmiljøer i flere bygder og i enkelte norsk-amerikanske miljøer. Rosemaling har også inspirert moderne norske kunstnere.",898,intro_extract,norsk_kultur,4.49,8,6,mixed,False,True,True,False,0,False,intermediate,3,1.9
no_wiki_norsk_natur_jotunheimen_20250921_055842,2025-09-21T05:58:42.802124,Wikipedia_NO,https://no.wikipedia.org/wiki/jotunheimen,Jotunheimen,"Jotunheimen er et fjellområde i det sentrale Sør-Norge, mellom Ottadalen i nord, Gudbrandsdalen i øst, Valdres i sør og Sogn i vest. Området har et areal på rundt 3500 km². 
I Jotunheimen ligger de høyeste fjellene i Nord-Europa: Galdhøpiggen (2 469 m) og Glittertinden (2 457 m). Også de 18 andre høyeste toppene i Fastlands-Norge ligger i dette landskapet, med Vestre Tverråtind på 2 309 m som den laveste. Deretter følger Snøhetta (Dovremassivet, 2 286 m) og Beerenberg (Jan Mayen, 2 272 m).
Jotunheimen nasjonalpark ble opprettet i desember 1980, med 1151 km² verna areal. 
Jotunheimen er et populært turområde og har et godt utbygd hyttenett og mange merkede stier. Den mest populære ruten i Jotunheimen er turen over Besseggen, som går mellom Gjende og Bessvatnet. Det er mulig å gå helt fra Oslo sentrum til Gjende i Jotunheimen langs Jotunheimstien, en tursti som Den Norske Turistforening åpnet i 2006.",911,intro_extract,norsk_natur,4.555,6,5,mixed,True,True,False,False,0,False,basic,3,1.91
no_wiki_norsk_natur_midnattsol_20250921_055843,2025-09-21T05:58:43.824438,Wikipedia_NO,https://no.wikipedia.org/wiki/midnattsol,Midnattssol,"Midnattssol er et fenomen som inntreffer hele eller deler av sommeren mellom vårjevndøgn og høstjevndøgn mellom polarsirklene og polene. Midnattssol innebærer at solen ved sin laveste posisjon i løpet av ett enkelt døgn ikke går helt under horisonten og dermed, såfremt skydekket ikke er for omfattende, er synlig 24 timer av døgnet.",333,summary,norsk_natur,1.665,5,4,mixed,True,True,False,False,0,False,basic,0,1.03
no_wiki_norsk_språk_kvensk_språk_20250921_055845,2025-09-21T05:58:45.565417,Wikipedia_NO,https://no.wikipedia.org/wiki/kvensk_språk,Kvensk,Kvensk er et finsk-ugrisk språk som er nært beslektet med finsk og meänkieli. Det tales i all hovedsak av kvener i Finnmark og Troms nord i Norge.,146,summary,norsk_språk,0.73,2,2,mixed,False,True,True,False,0,False,advanced,1,0.95
no_wiki_norsk_språk_norske_dialekter_20250921_055846,2025-09-21T05:58:46.276426,Wikipedia_NO,https://no.wikipedia.org/wiki/norske_dialekter,Norske dialekter,"Norske dialekter viser til noen, men ikke alle, skandinaviske talemål som brukes i Norge. I hovedsak kan de norske dialektene deles i to språklige hovedgrupper, østnorsk og vestnorsk, basert på jamvektsregelen. Disse hovedgruppene deles vanligvis videre inn i fire undergrupper: nordnorsk, trøndersk, vestlandsk og østlandsk. Av og til blir også innlandsmål regnet som en femte gruppe selv om den offisielt tilhører den østlandske dialektgruppa.
Dialektene er stort sett innbyrdes forståelige, men har allikevel betydelige forskjeller seg imellom når det gjelder uttale, grammatikk, syntaks og ordforråd. I tillegg til de norske dialektene finner man talemåte i Norge som er sosiolekter og standardspråk, og fremst blant disse er standard østnorsk, som ikke er en norsk dialekt i lingvistisk forstand.",801,intro_extract,norsk_språk,4.005,9,7,mixed,True,True,True,False,0,False,advanced,3,2.0
no_wiki_norsk_språk_samisk_språk_20250921_055847,2025-09-21T05:58:47.063598,Wikipedia_NO,https://no.wikipedia.org/wiki/samisk_språk,Samiske språk,"Samiske språk er en uralsk språkgruppe som bredte seg utover det nordlige Skandinavia, nordlige Finland og på Kolahalvøya i Russland. Det er anslått at mellom 20 000 og 30 000 samer snakker et av de gjenværende åtte samiske språkene. Det mest brukte samiske språket er nordsamisk. Antall samer beregnes til å utgjøre i overkant av 100 000 personer. Av disse benytter bare ca. 15 % et samisk skriftspråk, og man regner med at kun 30 % av de med samisk bakgrunn kan snakke et samisk språk.",487,summary,norsk_språk,2.435,4,4,mixed,False,True,True,False,0,False,advanced,0,1.19
no_wiki_norsk_samfunn_statsbudsjettet_20250921_055847,2025-09-21T05:58:47.750356,Wikipedia_NO,https://no.wikipedia.org/wiki/statsbudsjettet,Statsbudsjettet,"Statsbudsjettet er Norges statsbudsjett. Budsjettet omhandler den norske statens utgiftsrammer og anslåtte inntekter i et kalenderår. Det gir regjeringen og etatene i staten fullmakt til å bruke penger, og fastsetter retningslinjene for pengebruken. Det fastsetter også satsene for innkreving av skatter og avgifter og anslår hvor store inntekter dette totalt sett vil gi (skatte- og avgiftsprovenyet).
Vedtak av Statsbudsjettet er ved siden av lovgivningen Stortingets viktigste gjøremål. Budsjettet vedtas med hjemmel i Norges Grunnlovs § 75 d som sier: «Det tilkommer Stortinget .... å bevilge de pengesummer som er nødvendige for å dekke statens utgifter» (før 2014: det tilkommer Stortinget «at bevilge de til Statsudgifterne fornødne Pengesummer».) I mangel av en lov som regulerer budsjettprosessen, har Stortinget vedtatt Statens bevilgningsreglement som regulerer budsjettering og regnskapsførsel. Stortingets forretningsorden gir bestemmelser om blant annet framlegg og behandling av statsbudsjettet og regnskapet. Økonomiregelverket for staten fastsetter hovedprinsipper og normer for statlig økonomistyring, regnskapsførsel og betalingsformidling. Økonomiregelverket skal også sikre at statlig pengebruk og resultatoppfølging følger Stortingets vedtak.
Finansdepartementet utarbeider statsbudsjettet sammen med et nasjonalbudsjett, som er en mengde anslag for hele den økonomiske utviklingen og er styrende for rammene i statens eget budsjett. Våren etter at budsjettåret er over utarbeider departementet et statsregnskap  (Stortingsmelding nr. 3). Statsregnskapet er delt inn i et bevilgningsregnskap og et kapitalregnskap over statens eiendeler og gjeld (balanse). Det viser hvordan pengene har blitt brukt i budsjettåret og hvordan kapitalbalansen har endret seg, og gir svar på om inneværende års budsjettering var riktig og realistisk.",1852,intro_extract,norsk_samfunn,9.26,9,7,mixed,True,False,False,True,0,False,intermediate,5,2.2
no_wiki_norsk_samfunn_sv_20250921_055848,2025-09-21T05:58:48.532454,Wikipedia_NO,https://no.wikipedia.org/wiki/sv,Sosialistisk Venstreparti,SV – Sosialistisk Venstreparti er et norsk politisk parti som ifølge sitt arbeidsprogram definerer sin politiske posisjon som «venstreradikalisme». SVs ungdomsorganisasjon er Sosialistisk Ungdom (SU).,200,summary,norsk_samfunn,1.0,1,1,mixed,False,False,False,False,0,False,intermediate,1,0.6
no_wiki_norsk_samfunn_høyre_20250921_055849,2025-09-21T05:58:49.191250,Wikipedia_NO,https://no.wikipedia.org/wiki/høyre,Høyre,"Høyre (forkortet H) er et liberalkonservativt politisk parti i Norge. I perioden 2025–2029 har Høyre 24 representanter på Stortinget, og partiet var ved lokalvalget i 2023 landets største parti. Erna Solberg er partileder, og Henrik Asheim og Tina Bru er nestledere.
Høyre ble dannet like etter Venstre under forfatningsstriden i 1884. Å avgrense statens makt overfor det enkelte mennesket, har vært et gjennomgangstema i Høyres politikk gjennom partiets historie. Høyre anser seg selv som et borgerlig parti.
Høyre går inn for en åpen markedsøkonomi med lavere skatter og avgifter og mindre byråkrati. Historisk sett har partiet ønsket å holde tilbake på den offentlige pengebruken. Partiet har vært opptatt av lov og orden og landets forsvar, og Høyre har støttet norsk medlemskap i både NATO og EU. Høyre er mer postive til internasjonalt samarbeid enn en del andre partier i den konservative partifamilien i Europa.
Partiet har tre sideorganisasjoner: Unge Høyres Landsforbund, Høyres Studenter og Senior Høyres Landsforbund, i tillegg til Høyres Kvinneforum, som er organisert som et nettverk innenfor partiet. Sideorganisasjonene er representert i Høyres styrende organer.",1178,intro_extract,norsk_samfunn,5.89,5,5,mixed,True,True,False,False,0,False,intermediate,4,2.1
no_wiki_norsk_geografi_ålesund_20250921_055849,2025-09-21T05:58:49.841274,Wikipedia_NO,https://no.wikipedia.org/wiki/ålesund,Ålesund,"Ålesund kommune er en kommune i Møre og Romsdal fylke. 1. januar 2020 ble de tidligere kommunene Ålesund, Skodje, Ørskog, Haram og Sandøy slått sammen til nye Ålesund kommune. Unntak var øya Orten i tidligere Sandøy kommune, som ble overført til Aukra. 1. januar 2024 forlot Haram kommunen,og ble igjen en egen kommune.
Før sammenslåingen i 2020 omfattet Ålesund kommune Ålesund (by) og store deler av tidligere Borgund kommune på flere øyer innenfor. Den mest folkerike delen av kommunen ligger ytterst ved fjordsystemene på Sunnmøre og er et tjeneste- og kommunikasjonsknutepunkt for regionen. Kommunen omfatter også Nordøyane utenfor Romsdalsfjorden. Kommunen har stort og eksportrettet næringsliv.
Ålesund hadde 59 198 innbyggere per 1. januar 2025.",753,intro_extract,norsk_geografi,3.765,5,4,mixed,False,True,False,True,0,False,basic,4,1.85
no_wiki_norsk_geografi_tromsø_20250921_055850,2025-09-21T05:58:50.517947,Wikipedia_NO,https://no.wikipedia.org/wiki/tromsø,Tromsø,"Tromsø er en kommune i Troms fylke. Tromsø kommune er den mest folkerike kommunen i Nord-Norge og var før kommunereformen i 2020 den niende største kommunen i Norge. Etter 2020 passerte flere kommuner Tromsøs befolkning og i dag er Tromsø Norges 12. største kommune i folketall
I kommunesenteret, byen Tromsø, ligger setet for Troms fylke, for biskopen i Nord-Hålogaland bispedømme, for Arktisk råd og Universitetet i Tromsø. Tromsø hører til Troms politidistrikt, Nord-Troms tingrett og Hålogaland lagmannsrett.
Tromsø kommune hadde 79 421 innbyggere per 1. januar 2025. Kommunen består av flere SSB-definerte tettsteder. Tettstedet Tromsø (Tromsøya) hadde 41 915 innbyggere per 1. januar 2023, Tromsdalen 18 202 innbyggere, Kvaløysletta 8 868 innbyggere. I tillegg inngår også de mindre tettstedene Kjosen (377), Fagernes (311) og Movik (382) i regionen rundt byen, som per 1. januar 2023 hadde 68 410 innbyggere.
Byens største arbeidsplasser er UiT Norges arktiske universitet (UiT) og Universitetssykehuset Nord-Norge. Framsenteret ble opprettet 29. september 2010 og huser blant annet Norsk Polarinstitutt, som har sitt hovedsete i Tromsø. Nordlysobservatoriet ble opprettet i 1928, og to bedrifter tilknyttet Kongsberg Gruppen som henter ned satellittdata fra verdensrommet på oppdrag fra inn- og utland. Fiskeindustrien har stor betydning. Norges Råfisklag og Norges sjømatråd har sine hovedkvarter i Tromsø. Også SpareBank 1 Nord-Norge har sitt sete i byen. Videre ligger Skatt nord og flere mindre institusjoner i Tromsø. 
Vinterturisme har blitt en sto næring i Tromsø og byen karakteriseres nå som ""Nordens Barcelona"".
Tromsø en utpreget tjenesteytingskommune med noe over 3/4 av kommunens yrkesaktive ansatt i offentlig og privat tjenesteyting eller forretningsvirksomhet.
Tromsø kommune fikk sin nåværende utstrekning 1. januar 2008 da søndre del av Reinøya ble overført til Karlsøy kommune. Den største endringa skjedde 1. januar 1964 da bykommunen ble slått sammen med nabokommunene Tromsøysund, Kvaløy-delen av Hillesøy (Senja-delen til Lenvik) og det meste av Ullsfjord (Svensby-området til Lyngen). Tromsøregionen består av kommunene Tromsø og Karlsøy, og er siden 2003 en av 16 byregioner i Norge. Tromsøregionen har 75762 innbyggere per 1. januar 2025. Siden 2010 inngår kommunene Tromsø, Karlsøy og Balsfjord i Tromsø-områdets regionråd.",2358,intro_extract,norsk_geografi,11.79,7,7,mixed,True,True,False,True,0,False,basic,5,2.4
